review_id,text,entities
2266,"mecca for pastrami,cornedbeef,hotdogs and pickles. they fedex too!! this is the ultimate in deli meats. if you are a new yorker go. if you live afar, splurge for the fedex. it is worth every penny. get the rye bread loaf too. to die for.","[(10, 18, 'FOOD'), (19, 29, 'FOOD'), (30, 37, 'FOOD'), (42, 49, 'FOOD'), (92, 102, 'FOOD'), (206, 220, 'FOOD')]"
2077,"been here a few times and my most recent was right after they opened after receiving a piss poor grade from the city food inspectors. knowing me, your food are not good unless the kitchen is dirty. i'm serious, the best food in the world is always cooked by the hole in the walls. sorry, that fine dining shit is for snobs with their noses up in the air. if your stomach cannot handle it, cry me a river and work on your immune system game. i'm going to base this review on my most recent visit. came here with a party of for lunch and was seated immediately. waitress was quick and efficient. food came quick as well. i like rabbit but decided to go with something more plain. i opted for the spicy jambalaya, french onion soup and the beignets. the food was just meh.quite regular and nothing special. i found the jambalaya too spicy and i so hated how they just pre-dunk my baguette in the onion soup . next time i will have to tell them to put it on the side. overall, always had a positive experience here. i feel like the food is a hit or miss. i do like to come here at night because the rustic interior reminds me of interview with a vampire featuring brad pitt and tom cruise. toulouse petit was quite the meat market back in the day, if you are into that scene, but who is not i do not frequent queen anne too often so things might be different now.","[(626, 632, 'FOOD'), (694, 709, 'FOOD'), (711, 728, 'FOOD'), (737, 745, 'FOOD'), (816, 825, 'FOOD'), (893, 903, 'FOOD')]"
2448,"the sides shine more than the ramen here! this is one of the few ramen bars in nyc that oozes an authentic japanese basement ramen shop vibe. too bad you have to tip and your do not pay a vending machine.i had the spicy bang bang boiled chicken as a side, i did not have high expectations for it, but it was amazing. it was zesty and the chicken had texture but was not rubbery. the crunchy bean sprouts complemented the chicken well.the chicken paitan based broth did not have a very strong taste to it. there was a lil bit of umami, but not that intense. it was good, but i expected more. there is better chicken paitan broth in nyc. noodles, pork belly and the pulled pork was top notch. the cabbage and garlic were nice touches. overall excellent taste and textures. if you have been here in the past, the mega paitan ramen, the price went up a lil bit and you only get half an egg now.lines can be long, but not as bad as some of the other popular from japan chains in manhattan. they are efficient by taking your orders ahead of time.","[(30, 35, 'FOOD'), (65, 70, 'FOOD'), (125, 130, 'FOOD'), (214, 244, 'FOOD'), (338, 345, 'FOOD'), (383, 403, 'FOOD'), (421, 428, 'FOOD'), (438, 445, 'FOOD'), (438, 452, 'FOOD'), (607, 614, 'FOOD'), (607, 621, 'FOOD'), (636, 643, 'FOOD'), (645, 655, 'FOOD'), (664, 675, 'FOOD'), (695, 702, 'FOOD'), (707, 713, 'FOOD'), (810, 827, 'FOOD'), (822, 827, 'FOOD'), (882, 885, 'FOOD')]"
285,"this was my first time at this restaurant and even on a sunday night for a party of , the wait was almost hrs. i had high expectations for this place so when i visited sf, i knew i had to try it at least once since i was not able to on my prior trip but that was because it was with family and it is rare that the older generation would want to wait this long for food . anyway, i got the shrimp and leek dumplings and it tasted like i could have bought that from the supermarket and made it myself. i also got the black bean sauce noodles which was interesting because i never had it before. then. it was time for the original dry fried chicken wings and wow. those hrs were worth it and my expectations were met! when i come back to visit sf at a future date, i will be sure to return. there will not be any judgment if i only order the dry fried chicken wings, right","[(389, 414, 'FOOD'), (515, 539, 'FOOD'), (628, 651, 'FOOD'), (839, 862, 'FOOD')]"
,"food service . ambiance . food monorail cocktails , beet salad , pork belly , fried chicken with polenta and collard greens , and a side of mac n cheese , would have been perfect with more sauce, apple fritters . freakin' amazing and reasonable portion sizes. service it took a while to get seated even though there was a few tops available as soon as we got there. our server was amazing considering it looked like he was responsible for a huge section and it was packed. very friendly and was on top of his game. ambiance great little hipster space. only thing i would change is add some cushions to the booths as they were a tad bit hard on the bum and risk of slivers highly highly recommend, great experience","[(31, 49, 'FOOD'), (52, 62, 'FOOD'), (65, 69, 'FOOD'), (65, 75, 'FOOD'), (79, 104, 'FOOD'), (109, 123, 'FOOD'), (140, 152, 'FOOD'), (189, 194, 'FOOD'), (196, 210, 'FOOD')]"
,"this is chicago. we are not exactly a bbq town, but when a place has over k reviews and a and half star average you are doing yourself a disservice by not checking it out. the other day i did and i got to say, smoque lived up to the hype. go to texas, and you will wait in a hour long line for ribs that are really close to as tasty as these. the fact that you can get them in under minutes on a sunday is just unreal. not to mention it is actually pretty darn cheap too. full slab with sides was about which was way less than i was expecting. the place is a machine. line moves quick, your food comes out in the blink of an eye, and there is always a staffer there to answer your questions. the only other advice i will offer than has not really been said is to order more than you can eat. cold bbq the next day is actually really underrated.","[(38, 41, 'FOOD'), (294, 298, 'FOOD'), (472, 481, 'FOOD'), (797, 800, 'FOOD')]"
,"had dinner there with my daughter. we both had the french onion soup , she had calimari while i had the prime rib, scalloped potatoes and creamed spinach. to end, she had the carrot cake and i had the layer chocolate cake. what a disappointment. the best part of the dinner was the onion soup . the calimari was slightly greasy, but the biggest problem was how salty the prime rib and scalloped potatoes were. had to use excessive horseradish to counteract. even the end of the meal was disappointing. carror cake was moist, but layer chocolate cake was like eating sand. do not think i have ever tasted a drier desert. all this for over . money not well spent.","[(51, 68, 'FOOD'), (79, 87, 'FOOD'), (104, 113, 'FOOD'), (115, 133, 'FOOD'), (138, 153, 'FOOD'), (175, 186, 'FOOD'), (201, 221, 'FOOD'), (282, 292, 'FOOD'), (299, 307, 'FOOD'), (371, 380, 'FOOD'), (385, 403, 'FOOD'), (431, 442, 'FOOD'), (502, 513, 'FOOD'), (529, 549, 'FOOD')]"
2117,"wow! incredible meal indeed.i came her for a friday lunch with my girlfriend and we were impressed from staff to finish. when you first walk in, you will notice that old school classic ny steakhouse feel that adds to the charm and history of the restaurant.we were immediately sat, it did not look particularly busy on this afternoon. we ordered the day dryaged prime ribeye steak, the heritage pig bolognese and a side of delmonico's potatoes. no drinks for us on particular day but the wine list was extensive and looked impressive. the whole drink menu was actually displayed on an ipad that the waiter hands to you which i thought was very cool.first, the day dryaged prime ribeye steak. just wow. it might be the best steak i've had so far in this city. cooked to a perfect mediumrare, the inside was succulently juicy while the outside had a nice charred crunch to it. you can really taste the dryaged flavor. some restaurants in the city will say their steak is dryaged for x amount of days meanwhile having no dryaged flavor but this steak, you can really tell by the flavor that it is real.next, the heritage pig bolognese . wow again. it is large rigatoni pasta with a bolognese sauce made with pig cheeks. the pasta was made a perfect al dente, just how i like it. i'm a pasta fiend and this one flies straight to the top of my list for pasta dishes in the city. must try.last we tried the delmonico's potatoes. it was sort of a like hot potato salad with more of a consistency of gravy. good but skippable. probably better sides on the menu.overall, amazing flavor experience at delmonico's. the steak and the pasta were to die for and prices are typical of nyc steakhouses. i will be coming back again.","[(350, 380, 'FOOD'), (386, 408, 'FOOD'), (435, 443, 'FOOD'), (660, 690, 'FOOD'), (723, 728, 'FOOD'), (960, 965, 'FOOD'), (1042, 1047, 'FOOD'), (1109, 1131, 'FOOD'), (1157, 1171, 'FOOD'), (1179, 1194, 'FOOD'), (1205, 1215, 'FOOD'), (1221, 1226, 'FOOD'), (1282, 1287, 'FOOD'), (1348, 1353, 'FOOD'), (1413, 1421, 'FOOD'), (1449, 1461, 'FOOD'), (1608, 1613, 'FOOD'), (1622, 1627, 'FOOD')]"
,"my mother and i came here last sunday. the environment and the service were good. my mother and i shared a calamari as our appetizer, the calamari was ok. my mother got a oz. filet mignon with baked potato and i got a salmon with baked potato. the steak and the salmon was so so. not delicious at all. both my mother and i do not like it. we had a new york cheesecake as our dessert, and i like the dessert. it was good. my drink was also good.","[(107, 115, 'FOOD'), (138, 146, 'FOOD'), (175, 187, 'FOOD'), (193, 205, 'FOOD'), (218, 224, 'FOOD'), (230, 242, 'FOOD'), (262, 268, 'FOOD'), (348, 367, 'FOOD')]"
,"with , reviews and a rating i thought my experience at the purple pig would be much more satisfying than it turned out to be. do not get me wrong my meal was good, but it is not worth it to wait for a long time since they do not take reservations. if i lived in chicago and recommending friends on where to eat in a short amount of time, this would not be in the top places to eat... the place is super cramped everywhere. we walked in around pm on a weekday and got seated in ish minutes. they have several large communal tables, seating at the bar, and regular tables. we got seated in front of the kitchen areabar because those were the only seats left. pretty cramped and loud but it was fun to see the chefs making the food. my friend and i ordered cocktails off of the menu. she ordered a basic old fashioned and i ordered a house cocktail cannot remember the name of it but it was vodka based. our drinks were pretty standard in taste, and the presentation was nice but one of the main reasons why i gave the purple pig is that if i am paying for a drink i expect more than half of my glassware to have liquid in it. the large ice cube they put in my cocktail literally made up half of my drink see picture. i was pretty shocked because i have never ordered a cocktail where most of it was just pure ice. the menu changes pretty often and i believe the menu i ordered off of back in june has already changed most of the dishes are tapas style so the waiter recommended we ordered dishes each. we ordered the roasted bone marrow . one of my friends favorite dishes and she said this was just standard but the portion was very large, roasted pineapple pretty interesting flavors, asparagus the best thing i ate here, it tasted like pasta but the whole dish was just tiny cut up asparagus, and the milk braised berkshire shoulder the meat melted in your mouth and the mashed potatoes were delicious.","[(801, 814, 'FOOD'), (888, 893, 'FOOD'), (1515, 1534, 'FOOD'), (1639, 1656, 'FOOD'), (1685, 1694, 'FOOD'), (1737, 1742, 'FOOD'), (1783, 1792, 'FOOD'), (1802, 1833, 'FOOD'), (1872, 1887, 'FOOD')]"
