,review_id,user_name,business_id,stars,date,text
0,,Alex K.,1118,3.0,10/30/2018,"this dosa location has a very romantic, upscale feel to it that is perfect for date night. unfortunately, i do not find their food to reflect the upscale vibe or price tag associated with it. we appreciated their listing of allergens on the menu but still felt a bit disappointed that only one curry larger entree could be made vegan. we ordered vegan chutney sampler . the variety of five chutneys was good, but i did not find them alone to be worth the price. vegan channa bhatura curry the highlight of the meal, this curry was nuanced, fresh and delicious. it was small for , though. vegan mixed chile uttapam super spicy, and my girlfriend and i can almost always handle the kick. the menu did say spicy! but i think this warranted a bit more warning than that. regardless, this was tasty, but i did not think it was worth . and i know, i'm getting repetitive. the soup that accompanied the uttapam was, however, super delicious. overall, my girlfriend and i enjoyed our meal but the warm ambiance and friendliness of our server could not make up for the seemingly unwarranted cost of our dinner. i do not think i will find myself returning, since we left a bit unsatisfied and ultimately, still hungry."
1,,Alison W.,1118,4.0,10/11/2018,"i would never had south indian cuisine or dosas before. but some indian friends recommended this place and i'm always up for trying something new. we had kinda a large group so we were able to make a reservation ahead of time. though we sat around for about minutes after we arrived, while they were setting up our table. we got a bunch of appetizers samosas, idli fries, and the chutney sampler. the idli fries are bomb. they were like right out of the fryer hot. not sure exactly what they were but they tasted like fries. and it comes with a unique dipping sauce. the chutney sampler came with chutneys and we enjoyed them with a truly addictive and complementary papad kinda like indian chips . i could have just had a whole meal on this, as the chips were salty and flavorful and you cannot have just one. samosas were ok nothing out of the ordinary. then the rest of us got some kind of dosa. i actually tried the uttapam sampler. uttapam is like a thicker dosa. i could not tell you all the different types of the uttapam but i enjoyed all five of them. all were vegetarian though and some had cheese that i remember. i also tried some my bf's paper masala dosa. the dosa itself is huge and crepelike and i like the spicy chutney and the dipping sauce. i think i also got to try the bhatura, which is like the puffed crepe or flat bread. i think i liked it more than the paper dos, bc it had a bit more of a sweet flavor. everything i had was really good and thanks to our friends for showing this type of cuisine. i will definitely need to search out more southern indian cuisines."
2,,Avantika A.,1118,5.0,10/8/2018,"loved the chilli uttapam ! as someone who hails from south india, i can say that this place is legit"
3,,Ramya R.,1118,3.0,9/27/2018,"this restaurant has a beautiful ambience but the food is just above average,nothing really extraordinarybeing a south indian i can cook the same food. the dishes are quite expensive and portion size is less for the price. we had masala chai,chille masala dosa,five moon uttapam and idly fry,which was all included. service was quick and servers were friendly."
4,,N N.,1118,3.0,9/25/2018,"tried this place for lunch last weekend. had heard so much about this place, so finally decided to give it a try. this place has great ambience, but sadly, the food did not live up to the hype. being a south indian myself, i was really excited about this place. we ordered the pani puri shots for appetizers, and we got puris with pani served in shot glasses. the puri tasted fresh and crispy, however we felt it was over priced for just puri's . it is also quite rare that you find only puri's per serving of pani puri. for the main course, i ordered a chicken thalli and my husband ordered the rava dosa. the rava dosa was good. it was with good serving of sambar, which i was happy with, although nothing extraordinary. the chicken thalli came with small servings of salads , chk fry, chk curry, channa, sambar, rasam, raita, curd, uttapam , lemon rice and white rice. all of which were average. nothing bad, but would not really go back. we live in san jose and there are numerous options for great south indian food for th the price. so if you are one of them, do not waste your time."
5,,Sujit D.,1118,4.0,8/13/2018,"although the name of the restaurant suggests focus on south indian cuisine, this classy joint serves variety of fusion snacks and meals east meets west. we enjoyed kerala chicken, south indian moons baby uttapams , dahi wada, south indian monsoon a non alchoholic cocktail drink, mango lassi and masala dosa all very good. staff are very friendly. service is fast for standard items masala dosa but makes you wait for nonstandard ones e.g. south indian moons . on a saturday afternoon there was no wait time to be seated for lunch. although, when visiting this place for dinner we did experience minutes wait times on weekends. the ambience is nice spacious airy and colorful. the tables are placed too close to each other for comfort. overall a nice place."
6,,Andrew S.,1118,4.0,8/4/2018,"this is the iconic south indian restaurant in san francisco. a group of us had a fantastic dinner experience here one saturday night. we shared a bunch of plates lamb dosa, rava masala, uttapams , chicken curry, goat belly and tapioca kheer. everyone had a nice cup of chai with dinner as well. the goat belly honey and pepper roasted was definitely the best part of the meal. it was a real treat and we got the last order that night. other items were also quite good i would reorder that chicken curry and lamb dosa any day. the ambiance inside the restaurant is nice. i particularly liked the high ceilings and the abundance of natural light. service was really good and the food came out really fast. relatively inexpensive for a fine dining experience including tax and tip, this was about per person. highly recommend this place for those looking for an indian feast. definitely more fun with a group."
7,,Mithun D.,1118,5.0,7/27/2018,"i took my wife on a surprise date. glad i did.we had lamb shack along with uttapam . lamb shack was delicious. uttapam and different variety of chutnies all were mouth watering. we also had pomegranate juice and mixed fruit drink with ginger, mango, pomegranate.we had mini laddu desert. all orders were delicious.please make prior reservations which i did. the place is pretty packed."
8,,Zachary F.,1118,5.0,7/9/2018,"great food, awesome ambience, reasonable pricing, we had the uttapam moons as a starter the homemade fruit fruit shrubs were amazing. this is an absolute favorite to share with friends."
9,,garbanzo b.,1118,4.0,6/11/2018,"good food, great ambience, reasonable pricing we had the uttapam moons as a starter to get our appetite wet for the true star of the show the masala dosa!"
