business id,menu_items,is_popular
1121,new england clam chowder,1
1121,smoked salmon chowder,1
1121,manhattan style chowder,0
1121,southwestern chicken & corn chowder,1
1121,seafood bisque,1
1121,seared scallop chowder,1
1121,vegan chowder,1
1121,market chowder,1
1121,make it a sampler,0
1121,dungeness crab roll,1
1121,oregon bay shrimp roll,0
1121,curried chicken roll,0
1121,alder smoked salmon roll,0
1121,captain's roll,0
1121,market salad,0
1121,caesar salad,0
1121,spinach salad,0
1121,pepsi  all you can drink ,0
1121,fresh squeezed lemonade,0
1121,strawberry lemonade,0
1121,bottled water,0
1123,marinated olives,0
1123,three cheese selection,0
1123,macrina french baguette,0
1123,painted hills beef tartare,1
1123,spiced bacon caramel corn,0
1123,house made pretzel,1
1123,salt cod fritters,1
1123,frites,1
1123,foie gras frites,1
1123,roasted bone marrow,1
1123,scotch egg,1
1123,     pub salad,0
1123,painted hills beef burger,1
1123,wild boar sloppy joe,1
1123,fresh fish and chips,1
1123,crispy skin chicken breast & confit thigh,0
1123,"local oysters, on the half shell",0
1123,tempura fried blue lake green beans,0
1123,roasted cherry tomatoes,0
1123,charcuterie platter,0
1123,winter squash salad,0
1123,mixed baby lettuce salad,0
1123,seared hudson valley foie gras,0
1123,warm potato veloute,0
1123,"cous cous gnocchi - corn, tomato, basil",0
1123,niman ranch short rib steak,0
1123,pan fried idaho trout,0
1123,flourless brownie & salted peanut caramel,0
1123,caramel apple roulade & vanilla rum creme anglais,0
1123,horchata ice cream,0
1123,lemon cheesecake & raspberry coulis,0
1123,dark chocolate coconut bar,0
1123,honey - ginger ice cream,0
1123,coconut sorbet,0
1123,milk chocolate pretzel bar,0
1123,malted milk ice cream,0
1123,steamed mediterranean mussels,0
1122,london broil ,0
1122,baked potato,0
1122,beef stroganoff,0
1122,prime rib ,0
1122,kobe meatballs,0
1122,"skirt steak,    oz. ",0
1122,almond crusted scallops,0
1122,calamari,1
1122,dungeness & alaskan king crab cakes,1
1122,classic caesar,0
1122,organic baby spinach,0
1122,french onion soup with swiss emmentaler,1
1122,pea salad,0
1122,house field greens,0
1122,clam chowder,1
1122,maine lobster bisque,1
1122,southwest chop chop salad,0
1122,filet mignon ,1
1122,top sirloin ,0
1122,new york strip loin ,1
1122,new york peppercorn steak ,0
1122,boneless ribeye steak ,0
1122,turkey sandwich,0
1122,prime new york steak sandwich ,0
1122,roast beef au jus ,1
1122,alaskan sockeye salmon ,0
1122,fish and chips,0
1122,"delille cellars d  columbia valley, wa",0
1122,"mark ryan winery, the dissident red blend, columbia valley",0
1122,virgin bloody mary,0
1122,citrus mojito,0
1122,arnold palmer,0
1124,seattle snapper,0
1124,bubble me bad,0
1124,local bee's knees,0
1124,old mischievous ways,0
1124,    smash,0
1124,raincoat,0
1124,monorail,0
1124,talking rain sparkling water,0
1124,"local     cola, low cal cola, lemon lime",0
1124,rachel's ginger beer,0
1124,dry soda co. rhubarb  bottled in seattle ,0
1124,espresso,0
1124,americano,0
1124,latte,0
1124,mocha,0
1124,macchiato,0
1124,chai,0
1124,grand central baguette,0
1124,chicken soup,0
1124,tender greens  ,0
1124,beet salad  ,0
1124,pb&j bon bons,1
1124,"country style rabbit pat, dijon, crostini",0
1124,steak frites  ,0
1124,pork belly chop salad  ,0
1124,smoked oyster kale ceasar  ,0
1124,mac & cheese,0
1124,vegetable pot pie,0
1124,rabbit pot pie,0
1124,chicken fried steak ,1
1124,mussels    ,0
1124,fried chicken ,1
1124,oregon shrimp salad sandwich,0
1124,grilled sharp cheddar on brioche,0
1124,fried chicken sandwich,0
1124,falafel,0
1124,bbq pulled pork,0
1124,butcher's grind house burger ,0
1124,fries,0
1124,cheesy grits  ,0
1124,mushrooms  ,0
1124,local     mimosa pitcher,0
1124,seattle snapper,0
1124,bubble me bad,0
1124,local bee's knees,0
1124,    smash,0
1124,raincoat,0
1124,monorail,0
1124,talking rain sparkling water,0
1124,"local     cola, low cal cola, lemon lime",0
1124,rachel's ginger beer,0
1124,dry soda co. rhubarb,0
1124,espresso,0
1124,americano,0
1124,latte,0
1124,mocha,0
1124,macchiato,0
1124,chai,0
1124,goats milk yogurt,0
1124,chicken soup,0
1124,tender greens  ,0
1124,beet salad  ,1
1124,deviled eggs  ,0
1124,pb&j bon bons,0
1124,biscuits & gravy,0
1124,corned beef hash ,0
1124,house made chorizo ,0
1124,pork belly ,0
1124,farmers breakfast    ,0
1124,"scramble of the day, homefries, biscuit",0
1124,chicken fried steak ,0
1124,french toast,0
1124,fried chicken and waffle,1
1124,pork belly chop salad,0
1124,oregon shrimp salad sandwich,0
1124,mac & cheese,0
1124,grilled sharp cheddar on brioche,0
1124,bbq pulled pork,1
1124,vegetable pot pie,0
1124,rabbit pot pie,0
1124,butcher's grind house burger ,0
1124,baked beans  ,0
1124,grand central baguette or biscuits    ,0
1124,local bee's knees,0
1124,old mischievous ways,0
1124,bubble me bad,0
1124,    smash,0
1124,raincoat,0
1124,monorail,0
1124,bumbershoot,0
1124,  bar bourbon    % nw grain,0
1124,oola waitsburg bourbon,0
1124,fried pumpkin seeds,0
1124,wood grilled sourdough,0
1124,oysters on the half shell    ,0
1124,deviled eggs  ,0
1124,pb&j bon bons,0
1124,savory vegetable soup  ,0
1124,country style rabbit pat,0
1124,tender greens  ,0
1124,beet salad  ,0
1124,panzanella salad,0
1124,cheese plate  ,0
1124,lamb ribs  ,0
1124,poutine,1
1124,mussels ,0
1124,steak & beet tartare    ,0
1124,rootbeer glazed pork belly  ,0
1124,palouse chickpea cake  ,0
1124,pork roast,0
1124,smoked oyster kale ceasar  ,0
1124,market fresh seafood,0
1124,tagliatelle ,0
1124,braised rabbit leg  ,1
1124,fried chicken ,0
1124,"steak frites, red wine butter sauce, aioli    ",0
1124,"   oz ribeye, bone marrow butter    ",0
1124,butcher's grind house burger ,0
1124,mushrooms  ,0
1124,mac & cheese,0
1124,spicy greens or collard greens  ,0
1125,crispy tasso cakes with cajun hollandaise ,0
1125,spicy creole andouille hash ,0
1125,cured carlton farms pork cheeks confit hash ,0
1125,muscovy duck confit and butternut squash hash ,0
1125,house smoked trout and asparagus hash ,0
1125,chicken fried chicken with spicy creole sausage gravy ,1
1125,toulouse bolognese over cestenza bruschetta ,0
1125,grilled skirt steak and two eggs ,0
1125,bayou fisherman's breakfast ,0
1125,"creole crawfish, shrimp and andouille sausage ",0
1125,shrimp creole and eggs over grits ,0
1125,cajun meatloaf and eggs with tasso gravy ,0
1125,buttermilk biscuits and spicy creole sausage gravy ,0
1125,classic egg breakfast ,0
1125,toulouse beignets,0
1125,the city's best fruit plate,0
