review_id,business_id,entities,sentence,len
14,1118,[],visited the dosa with family as it came with a glowing recommendation and a rating on yelp,0
14,1118,[],"but boy, were we in for a rude shock! landing at the place with a prior reservation, we were welcomed by a big heavy door and a sizeable eating joint designed at two levels",0
14,1118,[],little did i realise that it was the only big thing that we were going to be experiencing in the restaurant that night besides the final cheque of course which was already expected we immediately realised after talking to the hostess that they had forgotten to reserve a table for us yelp,0
14,1118,[],"they tried to turn it around with a tiny corner table on the upper level which could have seated kids maybe! after a few minutes of contemplation, maybe the staff realised we were definitely not going to sit in each other's laps and the guests on the adjacent table sportingly moved to make more space for us",0
14,1118,[],"the real horror started then with our server for the day, brittany c",0
14,1118,[],"now when a restaurant decides to charge you a % service markup automatically just because you are group of or more, the least that you expect is a decent service! but brittany came in with a tiny heart and grumpy attitude and seemed more in a mood as if we were there to eat for free! after a very offending introduction to a set menu or the preferable ala carte menu , we placed our orders without any recommendations being offered by her despite telling that it was our first visit",0
14,1118,"[('rava', 15, 19), ('egg', 26, 29)]","we ordered the rava dosa, egg dosa, chile uttapam and goat biryani along with a rasam the complimentary pappadums never came out even though the meal came pretty quickly",2
14,1118,[],we had to explicitly ask for them before they turned up,0
14,1118,[],now the dosa and uttapam were served with a moderate sized bowl of sambhar and tiny portions of chutneys,0
14,1118,[],"anyway knowing anything about south indian food may please enlighten me how to eat a dosa with a few spoons of sambhar and a teas oonful of chutney the food was served very rudely and when we asked if we could get more chutney, we got a condescending answer of it will cost you",0
14,1118,[],"when we have our consent another server brought it out and it was shockingly just another teaspoonful! we asked the new server if this is what we get in , he got confused and said he will be right back after checking but it never happened! now in this entire episode the food is not anything great to write about",0
14,1118,[],it is not bad but it is definitely not worth a for someone who knows how south indian tastes like,0
14,1118,[],"the goat biryani is definitely not a recommendation at all!! coming back to the service, we never got any water refills and noone checked on how we were liking the food",0
14,1118,[],at the end of it we left most of the goat biryani but brittany just brought out the cheque and did not even care to ask why the biryani was left over,0
14,1118,[],"for the biryani we asked for a take away box thought we could give it to someone needy but brittany just brought the box and placed it rudely in front of us without a word or smile after all this, we decided that the service did not deserve a % charge and we called in the manager who came in with a fake smile and concern",0
14,1118,"[('desserts', 84, 92)]",the manager heard our entire ordeal and said she will fix the bill and offered free desserts,1
14,1118,[],we told her very clearly we did not want free stuff but also did not want to pay for a service we did not get and just wanted the charge removed,0
14,1118,"[('desserts', 71, 79)]",but she insisted that as it was mother's day she would want us to have desserts so we agreed,1
