,review_id,business_id,entities,sentence,len
125,14,1118,[],visited the dosa with family as it came with a glowing recommendation and a rating on yelp,0
126,14,1118,[],"but boy, were we in for a rude shock! landing at the place with a prior reservation, we were welcomed by a big heavy door and a sizeable eating joint designed at two levels",0
127,14,1118,[],little did i realise that it was the only big thing that we were going to be experiencing in the restaurant that night besides the final cheque of course which was already expected we immediately realised after talking to the hostess that they had forgotten to reserve a table for us yelp,0
128,14,1118,[],"they tried to turn it around with a tiny corner table on the upper level which could have seated kids maybe! after a few minutes of contemplation, maybe the staff realised we were definitely not going to sit in each other's laps and the guests on the adjacent table sportingly moved to make more space for us",0
129,14,1118,[],"the real horror started then with our server for the day, brittany c",0
130,14,1118,[],"now when a restaurant decides to charge you a % service markup automatically just because you are group of or more, the least that you expect is a decent service! but brittany came in with a tiny heart and grumpy attitude and seemed more in a mood as if we were there to eat for free! after a very offending introduction to a set menu or the preferable ala carte menu , we placed our orders without any recommendations being offered by her despite telling that it was our first visit",0
131,14,1118,"[('rava', 15, 19), ('egg', 26, 29)]","we ordered the rava dosa, egg dosa, chile uttapam and goat biryani along with a rasam the complimentary pappadums never came out even though the meal came pretty quickly",2
132,14,1118,[],we had to explicitly ask for them before they turned up,0
133,14,1118,[],now the dosa and uttapam were served with a moderate sized bowl of sambhar and tiny portions of chutneys,0
134,14,1118,[],"anyway knowing anything about south indian food may please enlighten me how to eat a dosa with a few spoons of sambhar and a teas oonful of chutney the food was served very rudely and when we asked if we could get more chutney, we got a condescending answer of it will cost you",0
135,14,1118,[],"when we have our consent another server brought it out and it was shockingly just another teaspoonful! we asked the new server if this is what we get in , he got confused and said he will be right back after checking but it never happened! now in this entire episode the food is not anything great to write about",0
136,14,1118,[],it is not bad but it is definitely not worth a for someone who knows how south indian tastes like,0
137,14,1118,[],"the goat biryani is definitely not a recommendation at all!! coming back to the service, we never got any water refills and noone checked on how we were liking the food",0
138,14,1118,[],at the end of it we left most of the goat biryani but brittany just brought out the cheque and did not even care to ask why the biryani was left over,0
139,14,1118,[],"for the biryani we asked for a take away box thought we could give it to someone needy but brittany just brought the box and placed it rudely in front of us without a word or smile after all this, we decided that the service did not deserve a % charge and we called in the manager who came in with a fake smile and concern",0
140,14,1118,"[('desserts', 84, 92)]",the manager heard our entire ordeal and said she will fix the bill and offered free desserts,1
141,14,1118,[],we told her very clearly we did not want free stuff but also did not want to pay for a service we did not get and just wanted the charge removed,0
142,14,1118,"[('desserts', 71, 79)]",but she insisted that as it was mother's day she would want us to have desserts so we agreed,1
143,14,1118,[],"and then she crumpled the old bill right in front of us, do not know if that was really required to be done! in comes brittany with the dessert oh the horror!!",0
144,14,1118,"[('head', 78, 82)]","she placed one dessert in front of us rudely she could have dropped it on our head if she could have had her way and made a statement you talked to my manager, your bill will come in soon and just walked away",1
145,14,1118,"[('desserts', 83, 91)]",and then she comes back with another one and leaves with a statement hope the free desserts make up for your concerns,1
146,14,1118,"[('coffee', 123, 129)]",hello why the hell do people think that customers complain to get free stuff oh and she did come in again to offer chai or coffee which she said was on her,1
147,14,1118,[],"well dear brittany, after the experience i would not even had water if it was on you coming from india, i always thought america offers a different standard of service to customers",0
148,14,1118,[],"but dear dosa management, believe me i realise now that tiny hearts and money minded businesses are incapable of offering anything more than a product",0
149,14,1118,[],"please keep your free stuff to yourself, if you can offer anything do offer some warmth in your cold little place! to mr anjan thanks for your revert but it just reaffirms your attitude towards the whole incident! we are not looking for your free stuff so please keep the offer to yourself",0
150,14,1118,[],would have been happier to see your revert say we would offer impeccable and warm service!,0
338,31,1118,[],"a fancy indian place in japantown given sf's trends of overpriced food, i was a skeptic but got lured by restaurant week, when i found dosa to be the only place with a worthwhile menu",0
339,31,1118,"[('salad', 68, 73)]","while most other restaurants feature the anticlimatic addition of a salad and a brownie for a course meal, dosa became an adventurous feast through spices and creative cooking",1
340,31,1118,"[('chips', 17, 22), ('complimentary chips', 42, 61)]","small plates] ++ chips you start off with complimentary chips, and it is unlike anything i've ever eaten before",2
341,31,1118,[],"it is light, crispy, and has a handful of seeds thrown in",0
342,31,1118,"[('chennai chicken', 3, 18), ('expertly roasted chicken', 23, 47), ('contrasting', 114, 125)]","++ chennai chicken the expertly roasted chicken maintains a savory juiciness while imparting strong smokey tones, contrasting boldly with the cool cucumber and yogurt sauce",3
343,31,1118,"[('salad', 26, 31)]","++ sprouted mung & paneer salad the varied landscape of flavors was noteworthy, but the texture was truly outstanding",1
344,31,1118,"[('chewy coconut', 67, 80), ('crunchy pomegranate', 82, 101), ('arugula', 115, 122)]","this dish deserves some mindful eating to fully appreciate how the chewy coconut, crunchy pomegranate, and springy arugula simultaneously influence the sprouted mung bean, which ends up tasting more crispy or soft depending on what ends up in that particular forkful",3
345,31,1118,[],"the paneer is interestingly akin to tofu, and i enjoyed the pure taste in contrast to the more pungent versions i usually see",0
346,31,1118,"[('beet croquettes', 3, 18), ('creamfree', 70, 79)]","++ beet croquettes the sophisticated take pulls off a vegetablebased, creamfree, extra creamy croquettes",2
347,31,1118,"[('nuts', 99, 103), ('curry', 105, 110), ('cranberry chutney', 118, 135)]","not only does the blend of several vegetables create a palatable base the incorporation of spices, nuts, curry, and a cranberry chutney adds extra layers of complexity",3
348,31,1118,[],curries etc,0
349,31,1118,[],"] +++ nagai vegetable korma i chose this somewhat as a chore so we could eat our veggies, knowing that vegetable dishes typically pales next to meat dishes even at state bird! but we even the boo who is usually carnivorous were blown away",0
350,31,1118,"[('cuisine combined', 48, 64), ('potatoes', 101, 109)]",the perfect spice blends of ageold south indian cuisine combined with novelty vegetables like marble potatoes and romanesco creates a dish that looks modest but synergistically showcases the magic of fresh produce and ethnic cooking,2
351,31,1118,"[('californian', 4, 15), ('goan prawn', 18, 28), ('shrimp per person', 81, 98), ('shrimp', 134, 140)]","how californian + goan prawn masala i was unimpressed by the portion size of one shrimp per person, and that these were standardsized shrimp and not prawns",4
352,31,1118,[],"the marsala is constructed from distinctly fresh ingredients, but was dominated by the fiery spiciness",0
353,31,1118,"[('roasted masala lamb shank', 4, 29), ('leg', 111, 114), ('lamb', 120, 124)]","+++ roasted masala lamb shank in an era when fine dining consists of abstractly small portions, this ginormous leg of a lamb was a surprise and well worth the extra charge",3
354,31,1118,"[('chennai chicken', 109, 124)]","the hour slow braising resulted in falloffthebone tender and had a similar pervasively roasty flavors to the chennai chicken excellent savory dish in itself, but exacerbates the spiciness of the prawn masala",1
355,31,1118,"[('lamb', 76, 80), ('lemon', 111, 116), ('rice', 122, 126)]","the mix of spices with the vegetablebased seasoning added subtlety, and the lamb paired well with the fragrant lemon herb rice",3
356,31,1118,"[('sweet cheese patties', 11, 31), ('rose', 171, 175)]","dessert] + sweet cheese patties not sure if my expectations had just built up too high over the meal or if the dessert is too advanced for me, but despite the intrigue of rose water i think this was my least favorite",2
357,31,1118,"[('cheese', 4, 10), ('cream', 110, 115)]","the cheese itself had a limp texture and tasted in between savory cheese and dessert, and the conglomerate of cream nut cardamom floral added to the confusion for me",2
358,31,1118,"[('cashew milk', 138, 149)]","+ pistachio barfi as a whole it tasted like an artisan dark chocolate however it was too sugary, which overshadowed any fascinations from cashew milk and hibiscus",1
359,31,1118,[],"dranks] ++ mango lassi good mango flavor, easy to drink and not too thick",0
360,31,1118,"[('californian', 50, 61)]","with the tagline urban south indian dining with a californian sensibility , dosa exemplifies the unique and delicious globallocal theme that takes the fusion concept to the next level",1
361,31,1118,"[('channa bhatura bread', 79, 99), ('beet croquettes', 192, 207)]","presentation is onpoint instagramworthy for the most partfrom the giant fluffy channa bhatura bread that always catches your eye as it passes by your table, to the fine diningesque display of beet croquettes on a wooden board with a magenta smear",2
362,31,1118,[],"i actually like how there is also a mix of more plain presentation, such as the vegetable korma in the traditional indian bowl, which tones down any pretentiousness",0
363,31,1118,[],"ambiance is swanky, with extremely dim lighting if good food pictures are a priority, i strongly recommend coming for a sunny brunch instead",0
364,31,1118,"[('ceilings', 9, 17)]",the tall ceilings with a half second level and bar along one side reminds me of nopa,1
365,31,1118,[],"although service was friendly, i must say my main gripe overall was the slowness we arrived at and left at o",0
366,31,1118,[],"o which meant extra needed for parking they only validate ironically, the server checked in with us several times to ask if our round of apps entrees had arrived, and our answer was that none or only one had come",0
367,31,1118,[],she also took forever on the mango lassi when boo was breathing fire from the spiciness,0
368,31,1118,"[('egg', 60, 63), ('nut free vegan', 71, 85)]","pro tip although the menu is extensively notated with dairy egg gluten nut free vegan, it lacks spiciness warnings",2
369,31,1118,"[('curry', 66, 71)]","if you cannot handle spicy, i suggest avoiding anything that says curry leaves and or prophylactically getting yourself a glass of mango lassi",1
370,31,1118,[],,0
520,45,1118,[],"dosa on fillmore, san francisco april by maggiesfoodjournal from start to finish, the experience here was a day to remember",0
521,45,1118,[],"our server, pj was friendly and cheerful",0
522,45,1118,[],she did not rush us to order and at the same time was very helpful,0
523,45,1118,[],"after we had sat down, pj brought a serving of papadum",0
524,45,1118,"[('crisp', 12, 17), ('chips', 19, 24)]","these thin, crisp, chips with popping flavours were a hit at our table",2
525,45,1118,[],our orders paper masala dosa dosa is a kind of pancake its main ingredients are rice and urad beans,0
526,45,1118,[],dosa is a south indian dish popular all over the indian subcontinent,0
527,45,1118,"[('potato', 58, 64), ('dips', 75, 79)]","this large, thin, pliable, crispy, thin cracker came with potato and other dips",2
528,45,1118,"[('potato', 15, 21), ('onions', 34, 40)]",of rava masala potato masala with onions and cashew,2
529,45,1118,"[('crispy semolina wheat', 65, 86)]",it had the perfect spice and heat an excellent marriage with the crispy semolina wheat dosa,1
530,45,1118,"[('lamb', 3, 7)]",of lamb 'keema' three of us ordered this item,1
531,45,1118,"[('lamb', 63, 67)]",the plain dosa was a genius way to accompany the spiced minced lamb,1
532,45,1118,[],of mango lassi all of us had the mango lassi,0
533,45,1118,[],i am not a big fan of yogurt but i like mangoes so this gives me a chance to combine the two together,0
534,45,1118,[],it is not too sweet and well balanced,0
535,45,1118,"[('coffee', 10, 16), ('coffee', 21, 27)]",of madras coffee the coffee seeds are shadegrown and brewed with chicory,2
536,45,1118,[],"gladly, i did not taste the chicory but i could use more sugar in my drink",0
537,45,1118,[],,0
538,45,1118,[],of ambience of,0
650,58,1118,[],"a cozy yet casual, intimate yet fun place and experience",0
651,58,1118,[],i came with two girl friends on a monday night around and were seated immediately by the window,0
