review_id,user_name,business_id,stars,date,text
,Alex K.,1118,"3.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 3.0 star rating",10/30/2018,"This DOSA location has a very romantic, upscale feel to it that is perfect for date night. Unfortunately, I don't find their food to reflect the upscale vibe or price tag associated with it.
We appreciated their listing of allergens on the menu but still felt a bit disappointed that only one curry / larger entree could be made vegan.
We ordered:
-- Vegan Chutney Sampler ($5.5) // The variety of five chutneys was good, but I didn't find them alone to be worth the price.
-- Vegan Channa Bhatura Curry ($22) // The highlight of the meal, this curry was nuanced, fresh and delicious. It was small for $22, though.
-- Vegan Mixed Chile
Uttapam
($14) // SUPER spicy, and my girlfriend and I can almost always handle the kick. The menu did say ""spicy!"" but I think this warranted a bit more warning than that. Regardless, this was tasty, but I didn't think it was worth $14... and I know, I'm getting repetitive. The soup that accompanied the
uttapam
was, however, super delicious.
Overall, my girlfriend and I enjoyed our meal but the warm ambiance and friendliness of our server couldn't make up for the seemingly unwarranted cost of our dinner. I don't think I'll find myself returning, since we left a bit unsatisfied and ultimately, still hungry."
,Alison W.,1118,"4.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 4.0 star rating",10/11/2018,"I'd never had south indian cuisine or dosas before. But some Indian friends recommended this place and I'm always up for trying something new. We had kinda a large group so we were able to make a reservation ahead of time. Though we sat around for about 15 minutes after we arrived, while they were ""setting up our table."" We got a bunch of appetizers - samosas, idli fries, and the chutney sampler. The idli fries are bomb. They were like right out of the fryer hot. Not sure exactly what they were but they tasted like fries. And it comes with a unique dipping sauce. The chutney sampler came with 4 chutneys and we enjoyed them with a truly addictive (and complementary) papad (kinda like Indian chips). I could've just had a whole meal on this, as the chips were salty and flavorful and you can't have just one. Samosas were ok - nothing out of the ordinary.  Then the rest of us got some kind of dosa. I actually tried the
uttapam
sampler.
Uttapam
is like a thicker dosa. I couldn't tell you all the different types of the
uttapam
but I enjoyed all five of them. All were vegetarian though and some had cheese that I remember. I also tried some my bf's paper masala dosa. The dosa itself is huge and crepe-like and I like the spicy chutney and the dipping sauce. I think I also got to try the bhatura, which is like the puffed crepe or flat bread. I think I liked it more than the paper dos, bc it had a bit more of a sweet flavor. Everything I had was really good and thanks to our friends for showing this type of cuisine. I will definitely need to search out more southern Indian cuisines."
,Avantika A.,1118,"5.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 5.0 star rating",10/8/2018,"Loved the chilli
uttapam
! As someone who hails from South India, I can say that this place is legit"
,Ramya R.,1118,"3.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 3.0 star rating",9/27/2018,"This restaurant has a beautiful ambience but the food is just above average,nothing really extraordinary-Being a South Indian I can cook the same food.
The dishes are quite expensive and portion size is less for the price.
We had masala chai,chille masala dosa,five moon
uttapam
and idly fry,which was 55$ all included.
Service was quick and servers were friendly."
,N N.,1118,"3.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 3.0 star rating",9/25/2018,"Tried this place for lunch last weekend. Had heard so much about this place, so finally decided to give it a try. This place has great ambience, but sadly, the food did not live up to the hype.
Being a south Indian myself, I was really excited about this place. We ordered the pani puri shots for appetizers, and we got 4 puris with pani served in shot glasses. The puri tasted fresh and crispy, however we felt it was over priced for just 4 puri's ($10). It's also quite rare that you find only 4 puri's per serving of pani puri.
For the main course, I ordered a chicken thalli and my husband ordered the rava dosa. The rava dosa was good. It was with good serving of sambar, which I was happy with, although nothing extraordinary. The chicken thalli came with small servings of salads(2), chk fry, chk curry, channa, sambar, rasam, raita, curd,
uttapam
, lemon rice and white rice. All of which were average. Nothing bad, but wouldn't really go back.
We live in San Jose and there are numerous options for great south Indian food for 1/4th the price. So if you're one of them, don't waste your time."
,Sujit D.,1118,"4.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 4.0 star rating",8/13/2018,"Although the name of the restaurant suggests focus on South Indian cuisine, this classy joint serves variety of  fusion snacks and meals- east meets west. We enjoyed Kerala chicken, south indian ""moons"" (baby
uttapams
), dahi wada, south indian monsoon- a non alchoholic cocktail drink, mango lassi and masala dosa- all very good. Staff are very friendly. Service is fast for standard items (masala dosa) but makes you wait for non-standard ones( e.g. south indian moons). On a saturday afternoon there was no wait time to be seated for lunch. Although, when visiting this place for dinner we did experience 30-45 minutes wait times on weekends. The ambience is nice spacious airy and colorful. The tables are placed too close to each other for comfort. Overall a nice place."
,Andrew S.,1118,"4.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 4.0 star rating",8/4/2018,"This is the iconic South Indian restaurant in San Francisco.  A group of us had a fantastic dinner experience here one Saturday night. We shared a bunch of plates - lamb dosa, rava masala,
uttapams
, chicken curry, goat belly and tapioca kheer.  Everyone had a nice cup of chai with dinner as well.
The goat belly (honey and pepper roasted) was definitely the best part of the meal.  It was a real treat and we got the last order that night.  Other items were also quite good - I would re-order that chicken curry and lamb DOSA any day.
The ambiance inside the restaurant is nice. I particularly liked the high ceilings and the abundance of natural light.  Service was really good and the food came out really fast. Relatively inexpensive for a fine dining experience - including tax and tip, this was about $70 per person. Highly recommend this place for those looking for an Indian feast.  Definitely more fun with a group."
,Mithun D.,1118,"5.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 5.0 star rating",7/27/2018,"I took my wife on a surprise date.... glad I did...We had lamb shack along with
uttapam
.... lamb shack was delicious....
uttapam
and 6 different variety of chutnies all were mouth watering.... we also had pomegranate juice and mixed fruit drink with ginger, mango, pomegranate...we had mini laddu desert.... all orders were delicious...please make prior reservations which I did... the place is pretty packed...."
,Zachary F.,1118,"5.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 5.0 star rating",7/9/2018,"Great food, awesome ambience, reasonable pricing, we had the
uttapam
moons as a starter; the homemade fruit fruit shrubs were ""amazing."" This is an absolute favorite to share with friends."
,garbanzo b.,1118,"4.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 4.0 star rating",6/11/2018,"Good food, great ambience, reasonable pricing - we had the
uttapam
moons as a starter to get our appetite wet for the true star of the show - the masala dosa!"
,Chintan D.,1118,"4.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 4.0 star rating",5/29/2018,"Very nice place and ambience for an Indian restaurant. The dosas and
uttapam
were amazing. Vada pav was best in Bay area."
,Cat T.,1118,"3.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 3.0 star rating",5/19/2018,"Over-hyped type of place. Coming to visit SF to see friends in town. Two friends that live their mentioned Dosa to me. The food didn't have very distinct flavors. I felt like the dosa, uttampams and the curry all generally taste the same.
We order the Paneer & Peas Dosa, Roasted Chile & Garlic Dosa, Brokaw Avocado Chaat, Philipkutty Chicken Curry, and the South Indian Moons (5 different
uttapams
). Out of everything, I'd say the curry was maybe the best thing- but that was pretty typical but at least the chicken was tender.
The overall restaurant is very nice and fancy but food was sub-par. Recommend to try just once. Best to get reservation on weekend nights."
,Dhaval M.,1118,"5.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 5.0 star rating",5/16/2018,"Awesome place with superb ambience! It provides a fine dine experience and suitable for dinner dates and celebrations.
The food presentation is great. They have customized lot of Indian dishes in a unique way to present it well but keeping the authenticity of the taste. I've tried few dishes and all of them from dosas to
uttapam
turned out great. Of course it is a bit expensive but that's what you pay for such an ambience in SF.
The servers are very kind. Not recommended to walk-in without reservation."
,Abhishek C.,1118,"1.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 1.0 star rating",5/14/2018,"Visited the DOSA with family as it came with a glowing recommendation and a 4* rating on Yelp. But boy, were we in for a rude shock!
Landing at the place with a prior reservation, we were welcomed by a big heavy door and a sizeable eating joint designed at two levels.  Little did I realise that it was the only big thing that we were gonna be experiencing in the restaurant that night (besides the final cheque of course which was already expected)
We immediately realised after talking to the hostess that they had forgotten to reserve a table for us (Yelp??). They tried to turn it around with a tiny corner table on the upper level which could have seated 5 kids maybe! After a few minutes of contemplation, maybe the staff realised we were definitely not gonna sit in each other's laps and the guests on the adjacent table sportingly moved to make more space for us.
The real horror started then with our server for the day, Brittany C. Now when a restaurant decides to charge you a 20% service markup automatically just because you are group of 5 or more, the least that you expect is a decent service! But Brittany came in with a tiny heart and grumpy attitude and seemed more in a mood as if we were there to eat for free!
After a very offending introduction to a ""$60 set menu or the preferable ala carte menu"", we placed our orders without any recommendations being offered by her despite telling that it was our first visit. We ordered the rava dosa, egg dosa, chile
uttapam
and goat biryani along with a rasam
The complimentary pappadums never came out even though the meal came pretty quickly. We had to explicitly ask for them before they turned up. Now the dosa and
uttapam
were served with a moderate sized bowl of Sambhar and tiny portions of chutneys. Anyway knowing anything about south indian food may please enlighten me how to eat a dosa with a few spoons of Sambhar and a teas0oonful of chutney??
The food was served very rudely and when we asked if we could get more chutney, we got a condescending answer of ""it will cost you $2"". When we have our consent another server brought it out and it was shockingly just another teaspoonful! We asked the new server if this is what we get in $2, he got confused and said he will be right back after checking but it never happened!
Now in this entire episode the food isn't anything great to write about. It isn't bad but it is definitely not worth a 4* for someone who knows how south indian tastes like. The goat biryani is definitely not a recommendation at all!!
Coming back to the service, we never got any water refills and noone checked on how we were liking the food. At the end of it we left most of the goat biryani but Brittany just brought out the cheque and didn't even care to ask why the biryani was left over. For the biryani we asked for a take away box (thought we could give it to someone needy) but Brittany just brought the box and placed it rudely in front of us without a word or smile
After all this, we decided that the service did not deserve a 20% charge and we called in the manager who came in with a fake smile and concern. The manager heard our entire ordeal and said she will fix the bill and offered free desserts. We told her very clearly we didn't want free stuff but also didn't want to pay for a service we didn't get and just wanted the charge removed. But she insisted that as it was mother's day she would want us to have desserts so we agreed. And then she crumpled the old bill right in front of us, don't know if that was really required to be done!
In comes Brittany with the dessert (oh the horror!!). She placed one dessert in front of us rudely (she could have dropped it on our head if she could have had her way) and made a statement ""you talked to my manager, your bill will come in soon"" and just walked away. And then she comes back with another one and leaves with a statement ""hope the free desserts make up for your concerns"". Hello?? Why the hell do people think that customers complain to get free stuff?? Oh and she did come in again to offer chai or coffee which she said was on her. Well dear Brittany, after the experience I would not even had Water if ""it was on you""
Coming from India, I always thought America offers a different standard of service to customers. But dear DOSA management, believe me I realise now that tiny hearts and money minded businesses are incapable of offering anything more than a product. Please keep your free stuff to yourself, if you can offer anything do offer some warmth in your cold little place!
To Mr Anjan - Thanks for your revert but it just reaffirms your attitude towards the whole incident! We are not looking for your free stuff so please keep the offer to yourself. Would have been happier to see your revert say we would offer impeccable and warm service!"
,Clare L.,1118,"3.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 3.0 star rating",5/5/2018,"My boyfriend and I think this place was alright. It is more like an Indian fusion restaurant than an authentic Southern Indian place. If we ever crave for dosa again, we probably will go somewhere else.
On the day of our visit, the majority of the dishes offered on the menu were vegetarian. Though the restaurant wasn't full, we waited for A LONG TIME before the staff came to take our order.
For the dosa, we ordered the classic Masala dosa (4/5). There were three complementary sauces and they were all pretty decent. They were more on the sour side. The dosa came really fast and the crepe itself was thin and crisp. Pretty good.
We also ordered mixed mushroom
Uttapam
. This dish was really meh. It felt like a simple pizza on an Indian dough.
Uttapam
was kinda sour and there was quite a lot of cheese on the dish. The complementary sauces were the same as the dosa's. The dish was fairly bland and also soggy. We could not manage to finish this.
Our last dish was the goat dum biryani. This was probably our favorite dish out of the three we ordered. The goat biryani was sitting inside a naan-bread like bowl and there was a yogurt-like complementary sauce. The biryani was well flavored and decently spicy. We really loved the goat -- super juicy, soft and well-seasoned.
It's a decent Indian restaurant but with how much it is charging u, I probably won't revisit again."
,Shireen K.,1118,"3.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 3.0 star rating",4/24/2018,"The masala dosa was tasty however there was a very small portion of the actual potatoes in the center. We also ordered the chefs choice
uttapam
which did not give us a bang for our buck, the five pieces were tiny and basically served as one biters almost. If I had to re-order I'd go with a regular
uttapam
rather than a traditional dosa or the chefs choice. The raita we ordered on the side was as expected but again the portion was 1/3rd the serving bowl.
In summary the food was average/good but the portions were very small giving the impression of corners being cut."
,Tiffany H.,1118,"4.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 4.0 star rating",3/14/2018,"Yums! I really enjoyed the Masala Dosa dish I ordered, but I think the food here is quite pricey. I've been told by my brown companion that Dosa is overpriced and overhyped (and to not go here), but I still had to give it a try.
The potato was quite creamy, and the dosa was light and crispy. I liked the sauces to dip the dosa in- it wasn't super spicy for me, but it can be, especially if you're not used to the heat. The sambar (lentil and vegetable dipping soup) was good as well.
I tried a bite of my friend's
uttapam
(South Indian Moons featuring 5 different types of
uttapam
), and while it was good, it was not utterly amazing. The service here is very friendly, as one would expect for a restaurant of this quality. The meal overall was not too heavy, and I liked the fact that I felt pretty light and clean afterwards."
,Adrienne K.,1118,"5.0 star rating image(https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png)
 imageurl(""https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png"") 5.0 star rating",3/2/2018,"Really good Indian food in the Fillmore. This is Southern Indian cuisine, so not what we're used to in the States (no tandoor, no naan). With that being said, the breads are absolutely delicious, as are the various toppings, fillings, and curries.
Would highly recommend the butternut squash and paneer
uttapam
and the vegan curry that comes with the poori.
Service was efficient and friendly. Cocktails looked interesting, but I didn't partake."
