review_id,user_name,business_id,stars,date,text
1,Gauri H.,1111,5,11/3/18,oldest steakhouses in new york .great quality of steak. very flavorful. the steak was days old steak
2,Jason M.,1111,5,10/19/18,"wow! incredible meal indeed.i came her for a friday lunch with my girlfriend and we were impressed from staff to finish. when you first walk in, you will notice that old school classic ny steakhouse feel that adds to the charm and history of the restaurant.we were immediately sat, it did not look particularly busy on this afternoon. we ordered the day dryaged prime ribeye steak, the heritage pig bolognese and a side of delmonico's potatoes. no drinks for us on particular day but the wine list was extensive and looked impressive. the whole drink menu was actually displayed on an ipad that the waiter hands to you which i thought was very cool.first, the day dryaged prime ribeye steak. just wow. it might be the best steak i've had so far in this city. cooked to a perfect mediumrare, the inside was succulently juicy while the outside had a nice charred crunch to it. you can really taste the dryaged flavor. some restaurants in the city will say their steak is dryaged for x amount of days meanwhile having no dryaged flavor but this steak, you can really tell by the flavor that it is real.next, the heritage pig bolognese . wow again. it is large rigatoni pasta with a bolognese sauce made with pig cheeks. the pasta was made a perfect al dente, just how i like it. i'm a pasta fiend and this one flies straight to the top of my list for pasta dishes in the city. must try.last we tried the delmonico's potatoes. it was sort of a like hot potato salad with more of a consistency of gravy. good but skippable. probably better sides on the menu.overall, amazing flavor experience at delmonico's. the steak and the pasta were to die for and prices are typical of nyc steakhouses. i will be coming back again."
3,Marisa S.,1111,5,10/11/18,"went here on a date because my date saw it on john wick. when we got here we read up on the history of the restaurant & how it was the first fine dining establishment in america.we both extremely enjoyed the atmosphere & definitely had the best fine dining experience thanks to the helpful staff.my date ordered the signature delmonico's steak and i ordered the lamb chops. we had a started of west coast oysters then for our side orders we had mash potatoes and asparagus. i can for the first time say when i tasted the lamb chops and steak, i cried. i cried tears of joy because it was absolutely the most delicious meat to ever hit my tastebuds. however, the most surprising thing was the simple mashed potatoes and asparagus being absolutely perfected. lastly, the west coast oysters came with three different sauces to try them with and i can happily say i enjoyed every slurp.i would absolutely recommend taking anyone here to have the best full experience of fine dining."
4,Chris L.,1111,5,10/7/18,i do not know what to say but simply one of the best dinners and steaks that i've ever had. surely in the top three. it was expertly cooked and every bite was delicious to the last. it was sad it ended but if i go back to nyc it is comforting knowing delmonico's is there.the bread they brought while i waited was good. the fries that cane with the meal were scrumptious too. i was very happy i went there and would highly recommend to anyone.
5,Dolonchapa C.,1111,5,8/26/18,"we came here for restaurant week. they are one of the few places that keep a decent restaurant week menu.started with the salad the one with the blue cheese. i generally do not like blue cheese but they did a fantastic job of balancing out the pungency with the veggies.loved it.a good steakhouse does not go wrong with steaks. on the rare side my steak was pink and juicy when you cut into it. the broccoli was brilliant. nicely cooked but somehow had a semi crispy outside.the mashed potatoes were not fancy like you get at some places but the comfort kind. highly recommend getting a standard steak, veggies, and potatoes.the baked alaska was good. it is marshmallows so yeah it is on the sweeter side. their chocolate mousse was dope.we tried heir house chardonnay and it went incredibly well with our food. we had a great time and looking forward to revisit already."
6,Jelena P.,1111,5,10/15/18,"amazing good , the ribeye was amazingly cooked and the side of mushrooms tasted great, dessert was heavenly!service was amazing, i sat at the bar and the bartenders were very attentive and friendly!"
7,Kristy B.,1111,5,7/26/18,"i'm so glad that i started my restaurant week with ny's oldest restaurant in the history. at first, i was skeptical seeing some of the not so good reviews but honestly, everything is great. let me first start with the servers. they are extremely accommodating. exactly know what we are looking for. we had some of our vegetarian coworkers with us. there were not too many veggie options in the menu.yet they agreed to create an entree portion out of the veggie appetizer and we did not even put efforts to explain it.wine was priced reasonably for a bottle during lunch. ambience is pretty historical and fancy. loved it!! it is a huge place as well. food was eclectic. my friends enjoyed their naked ravioli while i enjoyed my lobster newberg and salmon. i was super full as i kept hogging my two course meal. although lobster newberg as an appetizer was a additional than pre fixe restaurant week meal but was happy that i tried the lobster dish.okay so for the steak my coworker got this prime delmonico steak and it was so tasteful."
8,Melissa D.,1111,5,10/7/18,everyone brags about this place so i had to give it a shot during restaurant week with my friends! i absolutely loved it. the service was fast and the steak was just delicious. i cannot ask for better service! i will definitely be coming back.
9,Vivian M.,1111,3,6/30/18,"skip the diamond jim crispy oysters appetizer, it was very underwhelming. the king crab mac and cheese was disappointing and overall overhyped. the fries were bland also. some parmesan or truffle oil would have saved it though.the onion rings were delicious! it was crispy and airy. we opted to get the blue cheese dressing on the side so we can dip it instead and we did not want soggy onion rings. the charred corn and creamed spinach were sound choices. i definitely recommend getting them.i tried my brother's signature steak aka the ribeye. it was delicious! i might have liked his more than mine. my boyfriend and i shared the dry aged tomahawk. it was delicious but i think the signature steak was better bang for the buck.the drinks were a little bit overpriced but my mojito was perfect. it was just strong enough for me to taste the booze, but it was also minty, sweet and acidic.overall, this is not the best steakhouse in nyc. but i had a great time and i loved how we got a private room! we did not have to scream across the table to hear one another. it was great that we were able to dine and chat in our own pace. the main dining room was really loud, it would have definitely lowered the ambience of the restaurant if we were sat there."
10,Andrey R.,1111,3,11/6/18,"this place is old school. the steaks themselves are good. however, in general the food is very heavy and makes you to fall asleep right after you finish it. the service is good. it worth trying only once."
