index,text,business_id,stars,dish_name,date
0,"my mother and i came here last sunday. the environment and the service were good. my mother and i shared a calamari as our appetizer, the calamari was ok. my mother got a  oz. filet mignon with baked potato and i got a salmon with baked potato. the steak and the salmon was so so. not delicious at all. both my mother and i do not like it. we had a new york cheesecake as our dessert, and i like the dessert. it was good. my drink was also good.",1122,4.0,Filet Mignon*,11/1/18
1,"my absolute favorite steakhouse in seattle  they have both turf and surf, but if you are going to the met, start with one of their fabulous appetizers such as the teriyaki bites oh, and come with an empty stomach, an appetizer can easily feed two or three people.  then move on to the entree - i love their filet mignon and prime rib.  they serve their meals with a baked potato the size of an appetizer plate and will load it up depending up on your liking right at the table  the meat melts in your mouth and the fat content is just right.  enough to make if flavorful, but still lean  the creme brulee for desert is also divine  my daughter loves the  layer chocolate cake also, but i do not know how she eats it all its huge. another plus is that usually once a year, some of the seahawks come and play waiter for the night. throughout the years we have attended, we met doug baldwin, cliff avril, big red bryant, kj wright and many more they take pictures with the guests and doug even sat and chatted with us  it was an excellent way to get to know the players and have a fantastic meal",1122,5.0,Filet Mignon*,8/4/18
2,"wow very nice we came here for a celebration for a party of . we arrived early but were seated immediately. our server was super nice and always checking in on us. we ordered crab cake, calamari and lobster mac and cheese for appetizers. i think our favorite was the crab cake, although i kind of wish it was cut into smaller pieces to share. it came in  patties and we tried to cut it ourselves and kind of made a mess. i ordered a  oz filet mignon with mash potatoes. ok heres the thing, one do not underestimate the size of the meat my eyes were bigger than my stomach so i ordered  oz and i barely ate  of the steak which was really sad for me. two, probably do not order an appetizer if your stomach is small like mine. after the appetizer i was pretty much full and did not have enough room for my steak which was the star of my meal. aside for my personal complaints about not having enough stomach size, everything was so good i got a medium filet mignon and it was very well cooked, pink all the way through and all the juice is retained making it juicy and tender. very creamy mash potato, must have of had a lot of butter in it. we also ordered the banana flambe and the bananator put on a mini show for us. to put the cherry on top we saw the ceo of t-mobile dining at the same time definitely made me feel like a celebrity or something.",1122,5.0,Filet Mignon*,6/15/18
3,"i've been to the met twice - once for happy hour and once for dinner.  it was very, very good. between the two times i've been there i've tried the bacon-wrapped tenderloin skewers, dungeness & alaskan king crab cakes, prime teriyaki tenderloin bites, blackened prime rib, and filet mignon . both the bacon-wrapped tenderloin skewers and prime teriyaki tenderloin bites were incredibly good, very tender, and packed full of flavor.  the bacon was crispy and fatty and added really nice flavor to the steak.  it was borderline too much of a good thing, but i'm not complaining.  the teriyaki sauce on medallions had a nice sweet and saltiness - teriyakisteak is one of my favorite meat combos and this is up there with the best of that pairing i've had. the crab cakes are really good. you get a lot of grab and a nice mix of large chunks of crab and thinner pieces.  there is good moisture on the inside and a nice crispiness on the outside.  it is really good by itself, with a little lemon or the slaw and sweet sauce.  definitely check out if you like crab cakes. the filet mignon was unnecessarily tender - in a great way - i feel like you could cut through it with a butter knife.  it was a perfect medium rare, had a good charcrust - great seasoning.  it was probably the best filet that i've tried.  really good. the blackened prime rib - not my favorite.  the meat was very tender, it was cooked perfectly, but i found the seasoning to be just too overpowering.  the salt content on the rub was a little too much for what i like - and i usually season my steaks very well.  the meat was melt-in-your-mouth tender, bu tender but the crust kept me from loving it.  good flavor, just too much of it and a little too heavy-handed with the salt.  i probably would not order this specific style of prime rib again. beyond the food - the service was great.  the servers are really friendly.  the bar staff has some pretty good stories.  what is really cool about the met is it is history.  while daniel's has a great view of south lake union which i love, when you walk into the met you  immediately feel like you have teleported to an old-school steakhouse because you have and  you see the rich history on the walls with all the celebrities who have eaten there.  daniel's has something similar, but it is not nearly as expansive as the met.  food aside, it is awesome experience to eat there because of the history alone. if you have the money, want to spend it and want steak - go here.  i feel like it is at the top of the pyramid for just-try steakhouses in seattle.  it is the perfect combination of great food and rich history.",1122,4.0,Filet Mignon*,5/24/18
4,"this place was amazing we had crab cakes, calamari to start. i had a wonderfully filet mignon with an oz lobster tail and mashed potatoes. we share asparagus and brussel sprouts with bacon. ended with a raspberry sorbet. was a fabulous dinner and great service.",1122,5.0,Filet Mignon*,4/6/18
5,"this was our first time venturing into the metropolitan grill for our sons th birthday dinner. service was good and the meal even better we ordered a tasty bottle of a spanish wine that was on the sommeliers suggestion list and it definitely paired well with our meal. i thought it was a little strange that our sommelier did not decant our bottle of wine since everyone else had theirs decanted. it was also weird how the floor manager guy in black jacket spoke to every table within our vicinity but not ours i mean for a ticket that was over  we could have used a lot bit of love and schmoozing but hey maybe we just were not black jacket dude worthy. but let us get to the food . it was fabulous i ordered the oz filet mignon medium well and it was delicious, my so who has a lot of food allergies ordered the porterhouse with veggies and our server was very attentive to his restrictions list and accommodating. our son ordered the  day aged sirloin chicago cut medium rare with the oscar added on and it was divine and for our little girl she ordered the cheeseburger for which she gave a double thumbs up. for dessert the birthday man got a creme brulee on the house, and i ordered the  layer chocolate cake i was so excited with dinner i totally forgot pics, sorry, it is a huge slice of cake with a side of vanilla bean ice cream and very decadent. overall, the food was great, our server was attentive, and it is as pricey as you would expect. only thing that i found slightly weird was the dated decor and the mirrors on the wall across from our booth, it made it feel like you were up in the business of the patrons seated directly across from you which did not help that they were grown folks trying to get jiggy with it in their booth not thinking that their friskiness was not being reflected into the mirror and was not up in our faces.but hey--maybe the steaks and wine has that effect on people. lol.",1122,4.0,Filet Mignon*,3/5/18
6,"this place is more down to earth and workmanlike than el gaucho or john howie it is a bit louder, brighter, and more casual--but the prices are just as steep. the steaks--the whole point really--are best at el gaucho, we think we are two adults and a  year old. we had the filet mignon at each establishment. the met's came in nd. we have less agreement on whose sides are best. here, we had the onion rings, which were amazing light and crispy breading, perfectly adhered to large cut onion rings, and perfectly fried. the warm complimentary bread was a delectable sourdough potato bread. wife and i got the roasted roots carrots, squash, etc. with our steaks, because she wanted to try the potato cakes also. both were great, though the cakes are really just a pile of hash browns. kid got the garlic mashed potatoes, and they were very garlicky. so, it was nice. but we all agree that we would go back to el gaucho first.",1122,4.0,Filet Mignon*,2/17/18
7,"let me preface by saying my fiance and i come here almost every other month - needless to say, this is our favorite steakhouse and the food never disappoints. ever. expect to drop a few pretty pennies. for starters, i would recommend their baby spinach salad if you are not into heavy appetizers. the combination of crispy bacon bits & fresh mozzarella is pretty amazing. crab cakes. good but nothing to write home about. definitely order the calamari though, it is got a nice little  kick to it with all the cherry peppers. the steaks. the steaks are amazing. i've tried their peppercorn, ribeye, filet mignon , porterhouse, new york. but my favorite is their blackened prime rib, medium rare. bone-in ribeye is also great tip you can request it blackened, which i recommend. i always get my steak with brussels sprouts and my fiance gets his with creamed spinach - we do not care for mashed potatoes or roasted veggies. and yes, you can ask to substitute. for the table, we always order the lobster mac & cheese - crispy yet tender with tons of lobster chunks. you do not need any sauce with your steak because it is so flavorful, but i need horseradish with mine. ask for both fresh and creamy horseradish. you can expect top-notch service from everyone working at the met - from valet to hostess to the servers. the servers are super friendly, not to mention knowledgeable, and very attentive.",1122,5.0,Filet Mignon*,2/12/18
8,"visited the metropolitan grill for dinner on our first night out in seattle. we called around pm to make a reservation for around pm, but the nice lady we spoke to on the phone told us she could not accommodate us with a reservation because they were all booked throughout the night. nonetheless she informed us about the bar side and told us they have there full dinner menu as well. upon arrival we got our coats & umbrella tooken  care of and they were hung away for us inside a coat room. unfortunately there was no tables available at the bar side, but our host made sure she would sit us down in no time. we waited nearly - minutes to be seated. our server jennifer promptly introduced herself to us and offered us some drink choices . we opted for . a lemon drop martini . met manhattan . martini bombay sapphire . another martini i cannot recall the name .a local brewed tap beer i cannot recall the name of. for appetizers we opted for . fresh onion soup . clam chowder soup . classic ceaser salad these both soups are a must try they were supper delicious for our entrees we chose . american wagyu . filet mignon . blackened prime rib . alaskan lobster tail medium in size for dessert . chocolate lava cake with vanilla ice cream it was our servers treat since she told us the childcare was very rich in flavor. . home made ny cheesecake. felt like royalty service. & every single bite was to die for. cannot wait to dine here on another trip. it was worth every penny. +",1122,5.0,Filet Mignon*,2/8/18
9,"people rave about this seattle classic - supposedly is a must try place and they were right. classic restaurant - old school steakhouse. velvet green booths. waiter ins white coats - amazing service i would come back on the service alone. they were so accommodating and helpful. i never went dry on water - i am a sucker for constant water refills lol - got the kettle one mule, it was delicious i actually had  started my night with the french onion soup. to die for cheesy and gooey goodness. must try to we had the metropolitan prawn cocktail huge and the kobe meatballs over garlic cheesy polenta so good. for my main course i got the oz filet mignon oz wagyu medium well with mash potatoes. it cooked to perfection and i killed it. to share we had lobster mac and cheese, brussels sprouts and mushroom. all delicious last but not least we had the bananas fosters it was dinner and a show, they cooked it right at the table. worth the show and taste divine. loved this place would gladly come again.",1122,5.0,Filet Mignon*,1/17/18
